title,scope_regionality,region,location_1,location_2,location_3,location_4,location_5,location_6,location_raw,organisation_1,organisation_2,organisation_3,organisation_4,organisation_5,organisation_6,organisation_7,organisation_8,organisation_raw,registry_url,information_url,type,subject_frame,subject_information,scope_population,scope_age,age_max,age_min,sample_design,sample_analysis_unit,sample_size_obtained,sample_size_rounded,start_date,end_date,resource_url_1,resource_url_2,resource_url_3,resource_url_4,resource_url_5,results_seroprevalence_information,results_publication_url,results_publication_date,results_publication_type,analysis_data_source,analysis_target,analysis_isotype,analysis_test,analysis_test_manufacturer_1,analysis_test_manufacturer_2,analysis_test_manufacturer_3,analysis_test_manufacturer_4,analysis_test_manufacturer_5,analysis_test_manufacturer_6,analysis_test_manufacturer_7,analysis_test_manufacturer_raw,results_seroprevalence_adjustment,results_seroprevalence_sensitivity,results_seroprevalence_specificity,results_seroprevalence_positive,results_seroprevalence_positive_95pct_lower,results_seroprevalence_positive_95pct_upper,record_created,record_modified,results_underreporting
"Prospektive Kohorten-Studie zur Ermittlung der Seroprävalenz für SARS-CoV2- Antikörper bei Mitarbeiterinnen und Mitarbeitern
am Klinikum rechts der Isar der Technischen Universität München (SeCoMRI)",Local/Regional,Bavaria,Munich,,,,,,Munich,Technische Universität München,Klinikum rechts der Isar,,,,,,,Klinikum rechts der Isar der Technischen Universität (TU) München,,https://www.mri.tum.de/news/grosse-mitarbeiter-studie-am-klinikum-rechts-der-isar-gestartet,Cross sectional,Healthcare workers and caregivers,Employees of the hospital Rechts der Isar and medical students of the TU München,Selected population groups,Adults,,18,Entire sample,Participants,4554,4600,2020-04-14,2020-05-29,https://doi.org/10.1101/2020.10.04.20206136,http://dx.doi.org/10.2139/ssrn.3678599,https://doi.org/10.3201/eid2803.204436,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-23,
Prospective molecular biological and serological examination for the detection of SARS-CoV-2 (COVID-19) in employees of a hospital of regular care in Germany (ProCoV),Local/Regional,Schleswig-Holstein,Reinbek,,,,,,Reinbek,"St. Adolf-Stift, Reinbek",Krankenhaus Reinbek,,,,,,,"Krankenhaus Reinbek St. Adolf-Stift, Reinbek",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021270,"https://www.krankenhaus-reinbek.de/aktuelles/2020-05-11/nicht-nur-eine-gefuehlte-sondern-eine-tatsaechliche-sicherheit-fuer-die ",Longitudinal/Prospectice cohort study,Healthcare workers and caregivers,Employees of the hospital Reinbeck St. Adolf-Stift,Selected population groups,Adults,90,18,Entire sample,Participants,871,900,2020-04-14,2020-06-16,https://doi.org/10.1016/j.ijid.2020.10.026,https://doi.org/10.1101/2021.03.29.21254538,https://doi.org/10.3390/ijerph182010972,,,,,,,,,,,,,,,,,,,,,,,,,,,
Study on SARS-CoV-2-Serology (COVID-19) in Bremen's public sector,Local/Regional,Bremen,Bremen,,,,,,Bremen,Performa Nord,Zentrum für Gesunde Arbeit der Freien Hansestadt Bremen,"Zentrum für Gesunde Arbeit der Freien Hansestadt Bremen, Arbeitsmedizinischer Dienst",,,,,,"Performa Nord, Zentrum für Gesunde Arbeit, Arbeitsmedizinischer Dienst
",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021289,,Cross sectional,Non-essential workers and unemployed persons,Employees in several organizational areas of Bremen's public service sector,Selected population groups,Multiple,67,16,Convenience sample,Participants,281,300,2020-03-31,2020-05-16,https://www.asu-arbeitsmedizin.com/node/153868/print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 Contact Study - Immunoreaction after possible SARS-CoV-2 / COVID-19 contact (CoCo Study),Local/Regional,Lower Saxony,Hannover,,,,,,Hannover,Medizinische Hochschule Hannover,,,,,,,,Medizinische Hochschule Hannover,https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021152,www.cocostudie.de,Longitudinal/Prospectice cohort study,Healthcare workers and caregivers,Employees from the health care sector at Hannover Medical School,Selected population groups,Adults,,18,Convenience sample,Participants,,1000,2020-03-23,2020-04-17,https://doi.org/10.1007/s15010-020-01461-0,https://doi.org/10.1007/s40121-020-00334-1,https://doi.org/10.1101/2020.12.02.20242479,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mütter-Screening in einem COVID-19-Niedrig-Pandemiegebiet: Bestimmung SARS-CoV-2 spezifischer Antikörper bei 401 Rostocker Müttern mittels ELISA und Immunfluoreszenz-Bestätigungstest,Local/Regional,Mecklenburg-Western Pomerania,Rostock,,,,,,Rostock,"Universitätsmedizin Rostock, Zentrum für Innere Medizin, Abteilung für Infektionskrankheiten und Tropenmedizin","Universitätsmedizin Rostock, Institut für Medizinische Mikrobiologie, Virologie und Hygiene","Bernhard Nocht Institut für Tropenmedizin, Hamburg ","Universitätsmedizin Rostock ",,,,,"Abt. für Tropenmedizin und Infektionskrankheiten und Institut für Medizinische Mikrobiologie, Virologie und Hygiene, Universitätsmedizin Rostock; Bernhard Nocht Institut für Tropenmedizin, Hamburg  ",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021614,https://www.med.uni-rostock.de/medien/pressemitteilungen/aktuelles/news/rostocker-studie-soll-die-covid-infektionen-bei-kindern-und-familien-aufklaeren,Longitudinal/Prospectice cohort study,Household and Community Samples,Mothers of children under the age of 10,Selected population groups,Adults,,18,Convenience sample,Participants,401,400,2020-04-20,2020-04-22,https://doi.org/10.1055/a-1197-4293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prospektive Covid 19 Kohorte Tirschenreuth (TiKoCo 19),Local/Regional,Bavaria,Tirschenreuth,,,,,,Tirschenreuth,Universitätsklinikum  Regensburg,Universitätsklinikum Erlangen,"Institut für klinische Mikrobiologie und Hygiene, Universitätsklinikum  Regensburg","Virologisches Institut, Universitätsklinikum Erlangen",,,,,"Institut für klinische Mikrobiologie und Hygiene, Universitätsklinikum Regensburg; Virologisches Institut, Universitätsklinikum Erlangen",,https://www.uni-regensburg.de/pressearchiv/pressemitteilung/1066465.html,Longitudinal/Prospectice cohort study,Household and Community Samples,Residents of the rural district Tirschenreuth,General population,Multiple,,14,Random sampling (central registration-based),Participants,4200,4200,2020-06-15,,https://www.kreis-tir.de/buergerservice/aktuelles/news/news/detail/News/erste-runde-der-blutabnahmen-erfolgreich-abgeschlossen/,https://doi.org/10.1101/2021.03.29.21254343,https://doi.org/10.3390/v13061118,https://doi.org/10.3390/v14061168,,,,,,,,,,,,,,,,,,,,,,,,,,
Prospektive Covid 19 Kohorte Tirschenreuth (TiKoCo 19),Local/Regional,Bavaria,Tirschenreuth,,,,,,Tirschenreuth,Universitätsklinikum  Regensburg,Universitätsklinikum Erlangen,"Institut für klinische Mikrobiologie und Hygiene, Universitätsklinikum  Regensburg","Virologisches Institut, Universitätsklinikum Erlangen",,,,,"Institut für klinische Mikrobiologie und Hygiene, Universitätsklinikum  Regensburg und Virologisches Institut, Universitätsklinikum Erlangen",,https://www.ukr.de/service/aktuelles/06346.php,Longitudinal/Prospectice cohort study,Household and Community Samples,Residents of the rural district Tirschenreuth,General population,Multiple,,14,Random sampling (central registration-based),Participants,4201,4200,2020-06-28,2020-07-10,,,,,,Residents of the rural district Tirschenreuth,https://doi.org/10.3390/v13061118,2021-06-10,Peer-reviewed Publikation,whole blood,multiple,IgG,"ELISA ",EUROIMMUN,In-house,ROCHE N,YHLO,,,,"EUROIMMUN; In-house, ROCHE N, YHLO",,,,0.086,0.0777,0.0945,,2021-11-01,5
Prospektive Covid 19 Kohorte Tirschenreuth (TiKoCo 19),Local/Regional,Bavaria,Tirschenreuth,,,,,,Tirschenreuth,Universitätsklinikum  Regensburg,Universitätsklinikum Erlangen,"Institut für klinische Mikrobiologie und Hygiene, Universitätsklinikum  Regensburg","Virologisches Institut, Universitätsklinikum Erlangen",,,,,"Institut für klinische Mikrobiologie und Hygiene, Universitätsklinikum  Regensburg und Virologisches Institut, Universitätsklinikum Erlangen",,https://www.ukr.de/service/aktuelles/06346.php,Longitudinal/Prospectice cohort study,Household and Community Samples,Residents of the rural district Tirschenreuth,General population,Multiple,,14,Random sampling (central registration-based),Participants,4203,4200,2020-06-28,2020-07-10,,,,,,Seroprevalence of antibodies against the nucleocapsid among residents of Tirschenreuth for the period of June and July 2020,https://doi.org/10.3390/v14061168,2022-05-27,Peer-reviewed Publikation,whole blood,anti Nucleocapsid,Total antibody,"ELISA ",ROCHE N,,,,,,,ROCHE N,Adjusted for test-specificity/test-sensitivity and population-weighted,,,0.0918,0.0834,0.1009,,2022-06-06,5.35
Prospektive Covid 19 Kohorte Tirschenreuth (TiKoCo 19),Local/Regional,Bavaria,Tirschenreuth,,,,,,Tirschenreuth,Universitätsklinikum  Regensburg,Universitätsklinikum Erlangen,"Institut für klinische Mikrobiologie und Hygiene, Universitätsklinikum  Regensburg","Virologisches Institut, Universitätsklinikum Erlangen",,,,,"Institut für klinische Mikrobiologie und Hygiene, Universitätsklinikum  Regensburg und Virologisches Institut, Universitätsklinikum Erlangen",,https://www.ukr.de/service/aktuelles/06346.php,Longitudinal/Prospectice cohort study,Household and Community Samples,Residents of the rural district Tirschenreuth,General population,Multiple,,14,Random sampling (central registration-based),Participants,3513,3500,2020-11-16,2020-11-27,,,,,,Seroprevalence of antibodies against the nucleocapsid among residents of Tirschenreuth for the period of November 2020,https://doi.org/10.3390/v14061168,2022-05-27,Peer-reviewed Publikation,whole blood,anti Nucleocapsid,Total antibody,"ELISA ",ROCHE N,,,,,,,ROCHE N,Adjusted for test-specificity/test-sensitivity and population-weighted,,,0.0997,0.0903,0.1101,,2022-06-01,1
Prospektive Covid 19 Kohorte Tirschenreuth (TiKoCo 19),Local/Regional,Bavaria,Tirschenreuth,,,,,,Tirschenreuth,Universitätsklinikum  Regensburg,Universitätsklinikum Erlangen,"Institut für klinische Mikrobiologie und Hygiene, Universitätsklinikum  Regensburg","Virologisches Institut, Universitätsklinikum Erlangen",,,,,"Institut für klinische Mikrobiologie und Hygiene, Universitätsklinikum  Regensburg und Virologisches Institut, Universitätsklinikum Erlangen",,https://www.ukr.de/service/aktuelles/06346.php,Longitudinal/Prospectice cohort study,Household and Community Samples,Residents of the rural district Tirschenreuth,General population,Multiple,,14,Random sampling (central registration-based),Participants,3374,3400,2021-04-19,2021-04-30,,,,,,Seroprevalence of antibodies against the nucleocapsid among residents of Tirschenreuth for the period of April 2021,https://doi.org/10.3390/v14061168,2022-05-27,Peer-reviewed Publikation,whole blood,anti Nucleocapsid,Total antibody,"ELISA ",ROCHE N,,,,,,,ROCHE N,Adjusted for test-specificity/test-sensitivity and population-weighted,,,0.1543,0.1425,0.1669,,2022-06-01,1.14
Prospektive Covid 19 Kohorte Tirschenreuth (TiKoCo 19),Local/Regional,Bavaria,Tirschenreuth,,,,,,Tirschenreuth,Universitätsklinikum  Regensburg,Universitätsklinikum Erlangen,"Institut für klinische Mikrobiologie und Hygiene, Universitätsklinikum  Regensburg","Virologisches Institut, Universitätsklinikum Erlangen",,,,,"Institut für klinische Mikrobiologie und Hygiene, Universitätsklinikum  Regensburg und Virologisches Institut, Universitätsklinikum Erlangen",,https://www.ukr.de/service/aktuelles/06346.php,Longitudinal/Prospectice cohort study,Household and Community Samples,Residents of the rural district Tirschenreuth,General population,Multiple,,14,Random sampling (central registration-based),Participants,3374,3400,2021-04-19,2021-04-30,,,,,,Seroprevalence of antibodies against the spike protein among residents of Tirschenreuth for the period of April 2021,https://doi.org/10.3390/v14061168,2022-05-27,Peer-reviewed Publikation,whole blood,anti -S1 domain,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Adjusted for test-specificity/test-sensitivity and population-weighted,,,0.4579,0.4411,0.4747,,2022-06-01,1.14
Immunitätsstudie gegen SARS-CoV-2,Local/Regional,Hesse,Fulda,,,,,,Fulda,Universitätsmedizin Marburg,Universitätsmedizin Marburg - Campus Fulda,,,,,,,Universitätsmedizin Marburg - Campus Fulda - Medizinische Klinik 4,,https://www.klinikum-fulda.de/wp-content/uploads/2020/04/20200423-Pressemeldung-Antikörperstudie-1-0.pdf,Repeated cross-sectional,Other groups,Employees of the hospital Fulda and employees of the retail segment in Fulda,Selected population groups,Adults,,18,Entire sample,Participants,1780,1800,2020-04-09,2020-04-16,http://dx.doi.org/10.1055/a-1198-1243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARS-CoV-2 Infektionen bei Gesundheitspersonal in Krankenhäusern in Deutschland (SGK),Local/Regional,Berlin,Berlin,,,,,,Unfallklinikum Berlin-Marzahn,"Robert Koch-Institut, Berlin",,,,,,,,"Robert Koch-Institut, Berlin",,,Repeated cross-sectional,Healthcare workers and caregivers,Health care personnel in selected areas at the Unfallkrankenhaus Berlin,Selected population groups,Adults,,18,Entire sample,Participants,1477,1500,2020-05-15,2020-12-16,https://www.bg-kliniken.de/unfallkrankenhaus-berlin/ueber-uns/bg-klinikum-unfallkrankenhaus-berlin/aktuelles/detail/das-unfallkrankenhaus-berlin-im-dienst-der-wissenschaft/,https://doi.org/10.1186/s12879-022-07057-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die Ausbreitung des neuen Coronavirus (SARS-CoV-2) und die gesundheitlichen Folgen (CoKoS),Local/Regional,Baden-Wuerttemberg,Stuttgart,,,,,,Stuttgart,Gesundheitsamt Stuttgart,Klinikum Stuttgart,Universitätsklinik Tübingen,,,,,,"Gesundheitsamt Stuttgart, Klinikum Stuttgart, Universitätsklinik Tübingen",,https://www.klinikum-stuttgart.de/aktuell-im-klinikum/presse/presseinformation/studie-zur-verbreitung-des-corona-virus-in-stuttgart,Longitudinal/Prospectice cohort study,Household and Community Samples,Stuttgart general population (sample A) and participants with a known past infection (sample B),General population and selected population groups,Multiple,,5,Random sampling (central registration-based),Participants,,1400,2020-05-15,,https://doi.org/10.1007/s15010-022-01830-x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die Ausbreitung des neuen Coronavirus (SARS-CoV-2) und die gesundheitlichen Folgen (CoKoS),Local/Regional,Baden-Wuerttemberg,Stuttgart,,,,,,Stuttgart,Gesundheitsamt Stuttgart,Klinikum Stuttgart,Universitätsklinik Tübingen,,,,,,"Gesundheitsamt Stuttgart, Klinikum Stuttgart, Universitätsklinik Tübingen",,"https://www.stuttgarter-zeitung.de/inhalt.forschungsprojekt-in-stuttgart-antikoerper-studie-zu-corona-in-der-stadt.50b185f5-ab99-4f1a-9268-00ed87f97bf2.html
https://www.klinikum-stuttgart.de/aktuell-im-klinikum/presse/presseinformation/studie-zur-verbreitung-des-corona-virus-in-stuttgart",Longitudinal/Prospectice cohort study,Household and Community Samples,Stuttgart general population (sample A) and participants with a known past infection (sample B),General population,Multiple,,5,Random sampling (not central registration-based),Participants,,5000,2020-05-15,2020-07-14,,,,,,Seroprevalence of antibodies against the spike protein among inhabitants of Stuttgart for the period of June to July 2021,https://doi.org/10.1007/s15010-022-01830-x,2022-06-01,Peer-reviewed Publikation,capillary blood,anti -S1 domain,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,,,,0.716,,,,2022-06-13,
Die Ausbreitung des neuen Coronavirus (SARS-CoV-2) und die gesundheitlichen Folgen (CoKoS),Local/Regional,Baden-Wuerttemberg,Stuttgart,,,,,,Stuttgart,Gesundheitsamt Stuttgart,Klinikum Stuttgart,Universitätsklinik Tübingen,,,,,,"Gesundheitsamt Stuttgart, Klinikum Stuttgart, Universitätsklinik Tübingen",,"https://www.stuttgarter-zeitung.de/inhalt.forschungsprojekt-in-stuttgart-antikoerper-studie-zu-corona-in-der-stadt.50b185f5-ab99-4f1a-9268-00ed87f97bf2.html
https://www.klinikum-stuttgart.de/aktuell-im-klinikum/presse/presseinformation/studie-zur-verbreitung-des-corona-virus-in-stuttgart",Longitudinal/Prospectice cohort study,Household and Community Samples,Stuttgart general population (sample A) and participants with a known past infection (sample B),General population,Multiple,,5,Random sampling (not central registration-based),Participants,,5000,2020-05-15,2020-07-14,,,,,,Seroprevalence of antibodies against the spike protein among inhabitants of Stuttgart for the period of June to July 2021,https://doi.org/10.1007/s15010-022-01830-x,2022-06-01,Peer-reviewed Publikation,capillary blood,anti Nucleocapsid,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,,,,0.048,,,,2022-06-13,
Serologische Untersuchungen bei Blutspendern des Großraumes Magdeburg auf Antikörper gegen SARS-CoV-2 (SeMaCo),Local/Regional,Saxony-Anhalt,Magdeburg,,,,,,Magdeburg,Otto-von-Guericke-Universität Magdeburg,,,,,,,,"Medizinische Fakultät, Otto-von-Guericke-Universität Magdeburg",,http://www.itib.ovgu.de/Forschung+_+Lehre.html,Repeated cross-sectional,Blood donors,Blood donors from Magdeburg and the surrounding area,General population,Adults,,18,Blood donation,Participants,268,300,2021-01-20,2021-01-31,,,,,,Seroprevalence among blood donors for the period January 2021,https://www.karger.com/Article/Pdf/518751,2021-09-07,Presentation,whole blood,,,,N/A,,,,,,,N/A,,,,0.037,,,2022-04-25,2022-05-10,
